serial,status,reuse_count,block,rtls_attempts,rtls_landings,asds_attempts,asds_landings
Merlin1A,lost,0,,0,0,0,0
Merlin2A,lost,0,,0,0,0,0
Merlin1C,lost,0,,0,0,0,0
Merlin2C,lost,0,,0,0,0,0
Merlin3C,lost,0,,0,0,0,0
B0003,expended,0,1,0,0,0,0
B0004,lost,0,1,0,0,0,0
B0005,lost,0,1,0,0,0,0
B0006,lost,0,1,0,0,0,0
B0007,lost,0,1,0,0,0,0
B1003,lost,0,1,0,0,0,0
B1004,lost,0,1,0,0,0,0
B1005,lost,0,1,0,0,0,0
B1006,lost,0,1,0,0,0,0
B1007,lost,0,1,0,0,0,0
B1008,lost,0,1,0,0,0,0
B1011,lost,0,1,0,0,0,0
B1010,lost,0,1,0,0,0,0
B1012,lost,0,1,0,0,0,0
B1013,lost,0,1,0,0,0,0
B1014,lost,0,1,0,0,0,0
B1015,lost,0,1,0,0,0,0
B1016,lost,0,1,0,0,0,0
B1018,lost,0,1,0,0,0,0
B1019,inactive,0,1,1,1,0,0
B1017,lost,0,1,0,0,0,0
B1020,lost,0,1,0,0,0,0
B1021,inactive,1,2,0,0,2,2
B1022,inactive,0,2,0,0,1,1
B1023,inactive,1,2,1,1,1,1
B1024,lost,0,2,0,0,0,0
B1025,inactive,1,2,2,2,0,0
B1026,inactive,0,2,0,0,1,1
B1028,lost,0,3,0,0,0,0
B1029,inactive,1,3,0,0,2,2
B1031,inactive,1,3,1,1,1,1
B1030,expended,0,3,0,0,0,0
B1032,lost,1,3,1,1,0,0
B1034,expended,0,3,0,0,0,0
B1035,inactive,1,3,2,2,0,0
B1036,lost,1,3,0,0,1,1
B1037,expended,0,3,0,0,0,0
B1039,expended,1,4,1,1,0,0
B1038,expended,1,3,0,0,1,1
B1040,expended,1,4,1,1,0,0
B1041,expended,1,4,0,0,1,1
B1042,inactive,0,4,0,0,1,1
B1043,expended,1,4,1,1,0,0
B1033,lost,0,3,0,0,0,0
B1044,expended,0,4,0,0,0,0
B1045,expended,1,4,0,0,1,1
B1046,expended,3,5,0,0,3,3
B1047,expended,2,5,0,0,2,2
B1048,lost,4,5,1,1,3,3
B1049,unknown,9,5,0,0,10,10
B1050,inactive,0,5,1,0,0,0
B1054,expended,0,5,0,0,0,0
B1051,active,10,5,1,1,10,10
B1052,unknown,1,5,2,2,0,0
B1053,unknown,1,5,2,2,0,0
B1055,lost,0,5,0,0,1,1
B1056,lost,3,5,1,1,2,2
B1057,lost,0,5,0,0,0,0
B1059,lost,5,5,3,3,2,2
B1058,active,8,5,0,0,9,9
B1060,active,8,5,1,1,8,8
B1061,active,4,5,0,0,5,5
B1062,unknown,2,5,0,0,3,3
B1063,active,2,5,1,1,2,2
B1064,active,0,5,0,0,0,0
B1065,active,0,5,0,0,0,0
B1066,active,0,5,0,0,0,0
B1067,active,0,5,1,0,2,2
