Date,Time (UTC),Booster Version,Dragon Version,Launch Site,Mission,Payload Mass (kg),Payload Mass (lb),Payload Type,Payload Manufacturer,Orbit,Customer,Customer Type,Customer Country,Mission Outcome,Landing Outcome,Drone Ship,Drone Ship Type,Notes
24-03-2006,22:30:00,F1,Dragon Not Used,Marshall Islands,FalconSat-2,19.5,43,Observation Satellite,United States Air Force Academy,LEO,DARPA,Government,United States of America,Failure  (in flight),No attempt,No Ship Used,No Ship Used,Engine failure at T+33 seconds. Loss of vehicle.[36] FalconSAT-2 landed in a storage shed near the launch site.
21-03-2007,01:10:00,F1,Dragon Not Used,Marshall Islands,DemoSat,,,Demonstration,SpaceX,LEO,DARPA,Government,United States of America,Failure  (in flight),No attempt,No Ship Used,No Ship Used,"Successful first-stage burn and transition to second stage, maximal altitude 289 km. Harmonic oscillation at T+5 minutes. Premature engine shutdown at T+7 min 30 s. Failed to reach orbit."
03-08-2008,03:34:00,F1,Dragon Not Used,Marshall Islands,Trailblazer/PRESat/NanoSail-D/Explorers,4,9,Observation Satellite,NASA,LEO,ORS/NASA/Celestis,Rideshare,United States of America,Failure  (in flight),No attempt,No Ship Used,No Ship Used,Residual stage-1 thrust led to collision between stage 1 and stage 2.
28-09-2008,23:15:00,F1,Dragon Not Used,Marshall Islands,RatSat,165,364,Demonstration,SpaceX,LEO,SpaceX,Business,United States of America,Success,No attempt,No Ship Used,No Ship Used,"Initially scheduled for 23–25 Sep, carried dummy payload – mass simulator, 165 kg (originally intended to be RazakSAT)"
14-07-2009,03:35:00,F1,Dragon Not Used,Marshall Islands,RazakSAT,180,397,Observation Satellite,ATSB,LEO,ATSB,Government,Malaysia,Success,No attempt,No Ship Used,No Ship Used,Malaysian satellite was the only commercial contract launch of Falcon 1.
04-06-2010,18:45:00,F9 v1.0  B0003,Dragon Not Used,CCAFS LC-40,No Payload,,,Demonstration,SpaceX,LEO,SpaceX,Testing,United States of America,Success,Failure   (parachute),No Ship Used,No Ship Used,"First flight of Falcon 9 v1.0. Used a boilerplate version of Dragon capsule which was not designed to separate from the second stage.(more details below) Attempted to recover the first stage by parachuting it into the ocean, but it burned up on reentry, before the parachutes even go to deploy."
08-12-2010,15:43:00,F9 v1.0  B0004,C101,CCAFS LC-40,"Dragon demo flight C1, two CubeSats,  barrel of BrouÃ¨re cheese",,,Demonstration,SpaceX,LEO (ISS),NASA (COTS) NRO,Government,United States of America,Success,Failure   (parachute),No Ship Used,No Ship Used,"Maiden flight of SpaceX's Dragon capsule, consisting of over 3 hours of testing thruster maneuvering and then reentry. Attempted to recover the first stage by parachuting it into the ocean, but it disintegrated upon reentry, again before the parachutes were deployed. (more details below) It also included two CubeSats, and a wheel of BrouÃ¨re cheese. Before the launch, SpaceX discovered that there was a crack in the nozzle of the 2nd stage's Merlin vacuum engine. So Elon just had them cut off the end of the nozzle with a pair of shears and launched the rocket a few days later. After SpaceX had trimmed the nozzle, NASA was notified of the change and they agreed to it."
22-05-2012,07:44:00,F9 v1.0  B0005,C102,CCAFS LC-40,Dragon demo flight C2+,525,1158,Demonstration,SpaceX,LEO (ISS),NASA (COTS),Government,United States of America,Success,No attempt,No Ship Used,No Ship Used,"The Dragon spacecraft demonstrated a series of tests before it was allowed to approach the International Space Station. Two days later, it became the first commercial spacecraft to board the ISS. (more details below)"
08-10-2012,00:35:00,F9 v1.0  B0006,C103,CCAFS LC-40,SpaceX CRS-1,500,1103,Space Station Supplies,NASA,LEO (ISS),NASA (CRS),Government,United States of America,Success,No attempt,No Ship Used,No Ship Used,"CRS-1 was successful, but the secondary payload was inserted into an abnormally low orbit and subsequently lost. This was due to one of the nine Merlin engines shutting down during the launch, and NASA declining a second reignition, as per ISS visiting vehicle safety rules, the primary payload owner is contractually allowed to decline a second reignition. NASA stated that this was because SpaceX could not guarantee a high enough likelihood of the second stage completing the second burn successfully which was required to avoid any risk of secondary payload's collision with the ISS."
01-03-2013,15:10:00,F9 v1.0  B0007,C104,CCAFS LC-40,SpaceX CRS-2,677,1493,Space Station Supplies,NASA,LEO (ISS),NASA (CRS),Government,United States of America,Success,No attempt,No Ship Used,No Ship Used,"Last launch of the original Falcon 9 v1.0 launch vehicle, first use of the unpressurized trunk section of Dragon."
29-09-2013,16:00:00,F9 v1.1  B1003,Dragon Not Used,VAFB SLC-4E,CASSIOPE,500,1103,Communication Satellite,MDA,Polar LEO,CSA,Business,Canada,Success,Uncontrolled (ocean),No Ship Used,No Ship Used,"First commercial mission with a private customer, first launch from Vandenberg, and demonstration flight of Falcon 9 v1.1 with an improved 13-tonne to LEO capacity. After separation from the second stage carrying Canadian commercial and scientific satellites, the first stage booster performed a controlled reentry, and an ocean touchdown test for the first time. This provided good test data, even though the booster started rolling as it neared the ocean, leading to the shutdown of the central engine as the roll depleted it of fuel, resulting in a hard impact with the ocean. This was the first known attempt of a rocket engine being lit to perform a supersonic retro propulsion, and allowed SpaceX to enter a public-private partnership with NASA and its Mars entry, descent, and landing technologies research projects. (more details below)"
03-12-2013,22:41:00,F9 v1.1,Dragon Not Used,CCAFS LC-40,SES-8,"3,170",6990,Communication Satellite,Oribital ATK,GTO,SES,Business,Luxembourg,Success,No attempt,No Ship Used,No Ship Used,"First Geostationary transfer orbit (GTO) launch for Falcon 9, and first successful reignition of the second stage. SES-8 was inserted into a Super-Synchronous Transfer Orbit of 79,341 km (49,300 mi) in apogee with an inclination of 20.55° to the equator."
