,Satellite ID(Fake),Current Official Name of Satellite,Country/Org of UN Registry,Country of Operator/Owner,Users,Class of Orbit,Type of Orbit,Longitude of GEO (degrees),Perigee (km),Apogee (km),Eccentricity,Inclination (degrees),Period (minutes),Launch Mass (kg.),Date of Launch,Expected Lifetime (yrs.),Contractor,Country of Contractor,Launch Site,Launch Vehicle,COSPAR Number,NORAD Number
0,1,Starlink-1007,USA,USA,Commercial,LEO,Non-Polar Inclined,0.0,559.0,561.0,0.0001443001443001443,53.0,95.9,227.0,2019-11-11,,SpaceX,USA,Cape Canaveral,Falcon 9,2019-074A,44713.0
1,2,Starlink-1008,USA,USA,Commercial,LEO,Non-Polar Inclined,0.0,549.0,551.0,0.00014450867052023122,53.0,95.6,227.0,2019-11-11,,SpaceX,USA,Cape Canaveral,Falcon 9,2019-074B,44714.0
2,3,Starlink-1009,USA,USA,Commercial,LEO,Non-Polar Inclined,0.0,549.0,551.0,0.00014450867052023122,53.0,95.5,227.0,2019-11-11,,SpaceX,USA,Cape Canaveral,Falcon 9,2019-074C,44715.0
3,4,Starlink-1010,USA,USA,Commercial,LEO,Non-Polar Inclined,0.0,533.0,535.0,0.00014484356894553882,53.0,95.3,227.0,2019-11-11,,SpaceX,USA,Cape Canaveral,Falcon 9,2019-074D,44716.0
4,5,Starlink-1011,USA,USA,Commercial,LEO,Non-Polar Inclined,0.0,548.0,551.0,0.00021677866897897247,53.0,95.6,227.0,2019-11-11,,SpaceX,USA,Cape Canaveral,Falcon 9,2019-074E,44717.0
5,6,Starlink-1012,USA,USA,Commercial,LEO,Non-Polar Inclined,0.0,549.0,551.0,0.00014450867052023122,53.0,95.6,227.0,2019-11-11,,SpaceX,USA,Cape Canaveral,Falcon 9,2019-074F,44718.0
6,7,Starlink-1013,USA,USA,Commercial,LEO,Non-Polar Inclined,0.0,549.0,551.0,0.00014450867052023122,53.0,95.6,227.0,2019-11-11,,SpaceX,USA,Cape Canaveral,Falcon 9,2019-074G,44719.0
7,8,Starlink-1014,USA,USA,Commercial,LEO,Non-Polar Inclined,0.0,496.0,506.0,0.0007276961141027507,53.0,94.6,227.0,2019-11-11,,SpaceX,USA,Cape Canaveral,Falcon 9,2019-074H,44720.0
8,9,Starlink-1015,USA,USA,Commercial,LEO,Non-Polar Inclined,0.0,549.0,551.0,0.00014450867052023122,53.0,95.6,227.0,2019-11-11,,SpaceX,USA,Cape Canaveral,Falcon 9,2019-074J,44721.0
9,10,Starlink-1016,USA,USA,Commercial,LEO,Non-Polar Inclined,0.0,549.0,551.0,0.00014450867052023122,53.0,95.6,227.0,2019-11-11,,SpaceX,USA,Cape Canaveral,Falcon 9,2019-074K,44722.0
